CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click
-8966446096488290000,636677,2368,0,0,1,0,15,0,298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,315,STNL to BP,124,0.050335570469798654,0.06666666666666667
-8965636214993180000,145526,555,0,0,0,0,1,0,68,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,STNL to BP,125,0.014705882352941176,0.0
-8963524642580960000,97045,354,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,STNL to BP,126,0.02127659574468085,0.0
-8963086526402790000,145529,544,0,0,0,0,5,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,STNL to BP,127,0.07462686567164178,0.0
-8962286427266620000,94865,285,5,0,0,0,11,0,28,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,47,STNL to BP,128,0.39285714285714285,0.0
-8960001789872620000,80838,311,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,STNL to BP,129,0.05263157894736842,0.0
-8957774355359670000,2024,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,130,,
-8956949765240240000,495084,1754,3,0,0,0,45,0,196,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,245,STNL to BP,131,0.22959183673469388,0.0
-8956888899506020000,117174,417,2,0,0,0,7,1,46,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,STNL to BP,132,0.15217391304347827,0.0
-8956858522527200000,157585,659,0,0,0,0,13,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,STNL to BP,133,0.2,0.0
-8955904582384890000,137438,522,0,0,0,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,STNL to BP,134,0.030303030303030304,0.0
-8954277249434320000,291001,1116,0,1,1,0,41,0,100,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,STNL to BP,135,0.41,0.024390243902439025
-8953745450670760000,509176,2040,3,0,3,0,97,0,147,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,252,STNL to BP,136,0.6598639455782312,0.030927835051546393
-8953258870653060000,256780,971,1,0,1,0,22,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,STNL to BP,137,0.21359223300970873,0.045454545454545456
-8950109117825890000,28234,133,0,0,0,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STNL to BP,138,0.08333333333333333,0.0
-8949524007568840000,125298,456,0,0,0,0,0,0,60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,STNL to BP,139,0.0,
-8946000193527100000,76715,306,0,0,1,0,9,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,STNL to BP,140,0.3333333333333333,0.1111111111111111
-8943660425957440000,468885,1694,0,0,0,0,21,0,210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,STNL to BP,141,0.1,0.0
-8942864972514160000,365875,1309,0,0,0,0,128,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,181,STNL to BP,142,2.4615384615384617,0.0
-8940301038319340000,97005,389,0,0,0,0,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,STNL to BP,143,0.06666666666666667,0.0
-8938976155628290000,402149,1540,0,0,0,0,16,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,STNL to BP,144,0.08743169398907104,0.0
