CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-5267749211296300000,76782,326,17,0,0,0,8,0,13,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,38,STNL to BP,1942,0.6153846153846154,0.0,735
-5245177978837950000,121340,466,5,0,4,0,15,0,36,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,60,STNL to BP,1949,0.4166666666666667,0.26666666666666666,206
-5244569965338840000,218287,831,0,2,1,0,40,0,65,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,108,STNL to BP,1950,0.6153846153846154,0.025,0
-5103492095618900000,169816,494,16,0,2,0,54,0,12,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,2,0,0,0,84,STNL to BP,2020,4.5,0.037037037037037035,85
-5073536004111670000,125343,474,2,1,0,0,7,0,52,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,STNL to BP,2037,0.1346153846153846,0.0,1995
-5066437603990140000,189972,756,4,0,1,0,10,0,79,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94,BP to STH,2040,0.12658227848101267,0.1,845
-5030674902807640000,367948,1505,58,0,3,0,53,0,65,0,0,1,3,2,3,0,44,0,0,0,0,0,0,0,0,0,0,0,182,STNL to BP,2056,0.8153846153846154,0.05660377358490566,881
-4997203215615380000,319359,1191,8,0,2,0,16,0,132,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,158,STNL to BP,2068,0.12121212121212122,0.125,728
-4970736583433720000,165817,707,53,0,0,0,4,0,24,0,0,0,2,3,1,0,44,0,0,0,0,0,0,0,0,0,0,0,82,BP to STH,2081,0.16666666666666666,0.0,1048
-4939237054244710000,592093,2254,56,0,3,0,88,0,146,0,0,0,1,7,0,0,39,0,0,0,0,0,0,0,1,0,0,0,293,STNL to BP,2094,0.6027397260273972,0.03409090909090909,1021
