CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-7954452741111858762,2936873,10963,27,0,38,0,558,0,825,1,0,1,0,9,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1453,102,0.6763636363636364,0.06810035842293907,119
-7950430934014921668,1323970,5298,128,0,4,0,158,0,358,1,0,1,0,12,14,5,1,80,0,0,1,0,0,0,1,4,0,0,0,655,103,0.441340782122905,0.02531645569620253,99
-7942151079556060578,1150119,4601,66,0,5,0,52,0,440,1,0,1,0,1,0,5,7,52,0,0,1,0,0,0,0,0,0,0,0,569,104,0.11818181818181818,0.09615384615384616,205
-7929492065665977601,1656975,6250,12,4,32,0,245,0,523,1,0,2,0,0,1,3,1,0,0,0,1,0,0,0,4,0,0,0,0,820,107,0.4684512428298279,0.1306122448979592,159
-7922644613078855611,1794326,6821,21,0,13,0,383,1,465,1,0,0,0,0,0,4,0,17,0,0,0,0,2,0,0,0,0,0,0,888,108,0.8236559139784946,0.033942558746736295,2156
-7895657056071881125,107251,466,39,0,2,0,1,1,7,1,0,1,0,0,0,2,1,36,0,0,1,0,0,0,0,0,0,0,0,53,110,0.14285714285714285,2.0,144
-7889657205615840091,402283,1437,9,0,23,0,68,0,96,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,199,111,0.7083333333333334,0.3382352941176471,385
-7878186727858256148,151729,535,9,0,2,0,26,0,34,1,0,1,0,2,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,75,112,0.7647058823529411,0.07692307692307693,59
-7874893779727953671,3309784,12576,65,0,67,3,801,3,691,1,0,6,0,1,1,6,6,16,0,0,2,0,10,0,2,0,1,0,0,1638,113,1.1591895803183792,0.08364544319600499,108
-7869797483766675357,1123313,4345,30,0,18,0,218,4,281,1,0,2,0,0,13,4,1,0,0,0,1,0,0,0,0,0,0,0,0,556,114,0.7758007117437722,0.08256880733944955,38
-7827163440753447972,899508,3495,36,0,8,0,66,0,329,1,0,4,0,1,0,5,0,28,0,0,1,0,0,0,0,0,0,0,0,445,117,0.2006079027355623,0.12121212121212122,116
-7825459830002703589,980214,3771,1,6,7,0,32,0,435,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,485,118,0.0735632183908046,0.21875,589
-7822246916889681997,1879912,7450,72,0,23,0,277,0,553,1,0,2,0,1,0,4,0,63,0,0,0,0,2,0,1,0,0,0,0,930,119,0.5009041591320073,0.08303249097472924,398
