CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-3549586006726838856,17,0,36,0,383,0,367,1,0,3,0,3,6,4,0,0,0,0,0,0,0,0,3,0,0,0,808,144,1.0435967302452316,0.09399477806788512,-124
-3535888076561219194,23,0,13,0,234,0,282,1,0,0,0,8,9,4,0,3,0,0,0,0,0,0,2,1,0,0,557,145,0.8297872340425532,0.05555555555555555,0
-3449793347955270583,20,0,13,3,221,1,249,1,0,1,0,1,0,4,0,9,1,0,0,0,2,0,1,0,0,0,513,147,0.8875502008032129,0.058823529411764705,387
-3397129148885823876,130,0,50,2,397,2,435,1,0,2,0,0,1,5,2,107,0,0,0,0,1,0,0,0,0,0,1022,149,0.9126436781609195,0.12594458438287154,63
-3359997052903434556,11,0,3,0,69,1,226,2,0,3,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,1,316,151,0.3053097345132743,0.043478260869565216,-10
-3030139893180282185,21,0,11,0,314,0,478,1,0,3,0,5,0,4,1,0,0,0,0,0,0,0,1,1,0,0,829,157,0.6569037656903766,0.03503184713375796,-52
-2818649123152670975,12,0,9,3,157,2,305,1,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,1,0,0,492,161,0.5147540983606558,0.05732484076433121,-1
-2811186867998375080,50,0,0,0,13,0,58,1,0,0,0,19,4,3,0,0,0,0,0,0,0,0,0,0,0,0,125,162,0.22413793103448276,0.0,-3
-2806275552735155020,36,0,8,0,176,0,629,1,0,0,0,9,1,4,0,8,0,0,0,0,0,0,0,0,0,0,854,163,0.27980922098569155,0.045454545454545456,133
-2669931094367607847,17,0,16,0,235,0,662,1,0,0,0,3,1,4,0,5,0,0,0,0,1,0,0,0,0,0,935,164,0.3549848942598187,0.06808510638297872,-322
-2585587656764190616,161,0,60,2,273,1,438,1,0,0,0,1,0,5,9,141,0,0,0,0,2,0,0,0,0,1,942,167,0.6232876712328768,0.21978021978021978,-24
-2582103307382270977,6,0,9,0,78,0,279,1,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,377,168,0.27956989247311825,0.11538461538461539,-167
-2565766531814235293,207,0,9,0,73,0,240,1,0,0,0,2,2,4,0,192,0,0,0,0,2,0,0,0,0,0,534,170,0.30416666666666664,0.1232876712328767,94
-2468521909863036211,187,0,87,0,860,0,1112,1,0,7,0,7,2,4,3,152,0,0,0,0,3,0,1,0,0,0,2251,173,0.7733812949640287,0.10116279069767442,9
-2434827724090990363,34,0,23,1,197,1,735,1,0,0,0,2,2,4,0,17,0,0,0,0,1,0,2,0,0,0,996,174,0.2680272108843537,0.116751269035533,262
