CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click
-9032543789891620000,2018,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,,0,0,0,1,,
-9030156908949720000,299087,1114,0,0,2,0,17,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,STNL to BP,,0,0,0,1,0.13178294573643412,0.11764705882352941
-9020291114682030000,2017,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,,0,0,0,1,,
-9018607730382460000,135425,442,0,0,0,0,7,0,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,STNL to BP,,0,0,0,1,0.11864406779661017,0.0
-9018300056310510000,200112,763,10,0,1,0,23,0,65,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,99,STNL to BP,,0,0,0,1,0.35384615384615387,0.043478260869565216
-9017188433725200000,232452,859,0,0,0,0,1,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,STNL to BP,,0,0,0,1,0.008771929824561403,0.0
-9010761012639450000,339539,1291,0,0,0,0,35,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,STNL to BP,,0,0,0,1,0.2631578947368421,0.0
-9008721192116480000,685132,2892,136,1,3,1,89,1,106,0,0,0,0,2,2,0,126,0,0,1,0,1,0,1,0,0,0,0,339,BP to STH,120.0,1,0,0,0,0.839622641509434,0.033707865168539325
-9007425728635180000,4048,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,STNL to BP,0.0,0,0,1,0,,
-9006797857254270000,325361,1261,0,0,4,0,56,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,STNL to BP,,0,0,0,1,0.5544554455445545,0.07142857142857142
-9005009734103900000,214252,798,0,0,0,0,3,0,101,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,STNL to BP,,0,0,0,1,0.0297029702970297,0.0
-9004068625058590000,177864,727,0,0,0,0,5,0,82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,STNL to BP,,0,0,0,1,0.06097560975609756,0.0
-9003536029818040000,127322,494,0,0,0,0,7,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,STNL to BP,,0,0,0,1,0.12727272727272726,0.0
-9003132007422260000,129299,517,0,0,3,0,14,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,STNL to BP,,0,0,0,1,0.2978723404255319,0.21428571428571427
-9002614310016050000,347670,1406,5,0,3,0,62,0,102,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,172,STNL to BP,270.0,0,1,0,0,0.6078431372549019,0.04838709677419355
-9002218071452600000,42382,166,0,0,0,0,0,0,18,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,STNL to BP,,0,0,0,1,0.0,
-9002204584519390000,10089,23,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STNL to BP,,0,0,0,1,,
-8996271829069540000,119333,447,56,0,0,0,0,0,1,0,1,0,1,0,1,0,54,0,0,0,0,0,0,0,0,0,0,0,59,STNL to BP,0.0,0,0,1,0,0.0,
-8992265473913400000,2018,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,,0,0,0,1,,
-8988922058718030000,100969,439,0,0,0,0,8,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,STNL to BP,,0,0,0,1,0.19047619047619047,0.0
-8988244324406190000,2024,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,,0,0,0,1,,
-8985727435840100000,383951,1495,0,0,0,0,10,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,STNL to BP,,0,0,0,1,0.05555555555555555,0.0
-8984026792353930000,201986,687,1,0,1,0,44,0,52,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,STNL to BP,,0,0,0,1,0.8461538461538461,0.022727272727272728
-8983789547518510000,347537,1376,3,0,4,0,45,0,119,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,172,BP to STH,7.0,1,0,0,0,0.37815126050420167,0.08888888888888889
-8976421216917760000,94926,348,1,0,0,0,19,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,STNL to BP,0.0,0,0,1,0,0.7307692307692307,0.0
-8975364831537070000,283003,1014,2,0,0,0,24,0,114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,STNL to BP,0.0,0,0,1,0,0.21052631578947367,0.0
-8975265001460180000,202130,753,0,0,2,0,31,0,65,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,STNL to BP,,0,0,0,1,0.47692307692307695,0.06451612903225806
-8974552446931730000,610456,2196,46,0,5,0,117,4,127,1,0,0,0,3,2,1,41,0,0,0,0,1,0,0,0,0,0,0,302,BP to STH,461.0,0,1,0,0,0.9212598425196851,0.042735042735042736
-8972926228246840000,82837,319,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,STNL to BP,,0,0,0,1,0.10810810810810811,0.0
-8971843883693110000,187918,686,0,0,0,0,5,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,STNL to BP,,0,0,0,1,0.056818181818181816,0.0
-8970250927173490000,99020,408,0,0,0,0,6,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,STNL to BP,,0,0,0,1,0.13953488372093023,0.0
