CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click,Avg_Engagement_per_visit
-9050228401953070000,12113,50,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STNL to BP,,0,0,0,1,0.0,,0.0
-9042636493948470000,315262,1106,3,0,5,0,27,0,118,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,156,BP to STH,47.0,1,0,0,0,0.2288135593220339,0.18518518518518517,0.0
-9042020665792750000,6069,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,STNL to BP,,0,0,0,1,0.0,,0.0
-9040637841836220000,48482,180,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,STNL to BP,,0,0,0,1,0.043478260869565216,0.0,0.0
-9040186546145990000,123300,440,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,STNL to BP,,0,0,0,1,0.0,,0.0
-9039277127145240000,284921,1104,5,0,3,1,32,0,99,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,141,STNL to BP,0.0,0,0,1,0,0.32323232323232326,0.09375,inf
-9038257846757470000,282817,1145,0,2,6,0,67,0,62,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,140,STNL to BP,0.0,0,0,1,0,1.0806451612903225,0.08955223880597014,0.0
-9036987208130000000,62624,262,0,0,0,0,11,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,STNL to BP,,0,0,0,1,0.5789473684210527,0.0,0.0
-9036639224216210000,194010,687,1,0,0,0,32,0,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,STNL to BP,,0,0,0,1,0.5161290322580645,0.0,0.0
-9035677322885030000,268740,1053,2,0,1,0,17,0,113,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,STNL to BP,28.0,1,0,0,0,0.1504424778761062,0.058823529411764705,0.0
-9032543789891620000,10084,17,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STNL to BP,,0,0,0,1,,,0.0
-9030156908949720000,264692,947,1,0,0,0,20,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,STNL to BP,0.0,0,0,1,0,0.18181818181818182,0.0,0.0
-9018607730382460000,135416,507,0,0,0,0,12,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,STNL to BP,,0,0,0,1,0.21818181818181817,0.0,0.0
-9018300056310510000,196068,728,10,0,2,0,22,0,63,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,97,STNL to BP,,0,0,0,1,0.3492063492063492,0.09090909090909091,inf
-9017188433725200000,224365,774,0,0,1,0,2,0,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,STNL to BP,,0,0,0,1,0.018691588785046728,0.5,0.0
-9010761012639450000,313234,1148,0,0,0,0,30,0,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,155,STNL to BP,,0,0,0,1,0.24193548387096775,0.0,0.0
-9008721192116480000,687206,2861,114,0,5,1,80,2,135,1,0,0,2,2,2,0,106,0,0,0,0,0,0,1,0,0,0,0,340,BP to STH,140.0,1,0,0,0,0.5925925925925926,0.0625,inf
-9007425728635180000,4030,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,,0,0,0,1,,,0.0
