CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
-2282368375795160000,256318,913,7,0,0,0,110,0,10,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,127,STNL to BP,0.0,0,0,1,11.0,0.0
-2192958718224770000,125397,377,5,0,0,0,24,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,62,STNL to BP,82.0,1,0,0,0.7272727272727273,0.0
-1951295317821700000,161754,525,6,0,3,0,12,1,55,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,3,80,STNL to BP,1097.0,0,0,1,0.21818181818181817,0.25
-1850268771694370000,141634,529,43,0,4,0,0,0,23,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,70,STNL to BP,0.0,0,0,1,0.0,inf
-1534522437201560000,129364,452,3,0,0,0,9,0,52,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,64,STNL to BP,1064.0,0,0,1,0.17307692307692307,0.0
-1531847696147910000,252783,1018,66,0,1,0,21,0,37,0,0,0,0,0,0,0,64,0,0,0,0,1,0,1,0,125,STNL to BP,200.0,1,0,0,0.5675675675675675,0.047619047619047616
-1497196556130980000,224475,810,4,0,6,0,57,0,44,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,111,BP to STH,0.0,0,0,1,1.2954545454545454,0.10526315789473684
-1416247517959650000,147706,504,32,0,0,0,17,0,24,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,73,STNL to BP,0.0,0,0,1,0.7083333333333334,0.0
-1373367938364100000,289207,973,34,0,3,1,32,0,72,0,0,0,0,0,1,0,30,0,0,0,0,1,0,2,0,143,STNL to BP,95.0,1,0,0,0.4444444444444444,0.09375
-1333339848689470000,62629,237,1,0,3,0,2,0,24,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,31,STNL to BP,0.0,0,0,1,0.08333333333333333,1.5
-746345597428304000,267063,1137,108,0,0,0,0,0,24,0,0,0,0,0,0,0,104,0,0,0,0,3,0,0,0,132,STNL to BP,103.0,1,0,0,0.0,
-617465245550037000,337394,1265,1,0,11,0,110,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,167,BP to STH,0.0,0,0,1,2.4444444444444446,0.1
-559906069191513000,224576,849,84,0,8,1,8,1,9,0,0,0,0,1,0,0,78,0,1,0,0,1,0,0,0,111,BP to STH,89.0,1,0,0,0.8888888888888888,1.0
-467539037840078000,297381,1170,95,0,10,0,33,1,7,0,0,1,1,2,0,0,78,0,0,0,0,3,0,3,0,147,BP to STH,79.0,1,0,0,4.714285714285714,0.30303030303030304
-280904408775428000,181844,671,10,0,2,0,21,0,57,0,0,0,0,4,0,0,4,0,0,0,0,2,0,0,0,90,STNL to BP,2178.0,0,0,1,0.3684210526315789,0.09523809523809523
