CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
3984603102462921359,404028,1477,12,0,24,0,50,0,114,0,0,0,2,0,1,0,0,0,0,2,0,0,0,200,STNL to BP,547.0,0,1,0,0.43859649122807015,0.48
4023092116417080353,125136,459,6,0,0,0,23,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,62,STNL to BP,183.0,1,0,0,0.696969696969697,0.0
4343697143223945032,155559,559,1,0,3,0,32,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,STNL to BP,0.0,0,0,1,0.7804878048780488,0.09375
4372932323249897788,181857,701,13,0,0,0,11,0,66,0,0,0,11,0,0,0,0,0,0,2,0,0,0,90,STNL to BP,1456.0,0,0,1,0.16666666666666666,0.0
4389818764552366946,191927,746,1,0,14,0,24,0,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95,STNL to BP,0.0,0,0,1,0.42857142857142855,0.5833333333333334
4546589125456781174,153312,634,1,0,0,0,38,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,STNL to BP,0.0,0,0,1,1.027027027027027,0.0
4799381627530118827,44380,168,1,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,STNL to BP,0.0,0,0,1,0.23529411764705882,0.0
4984587411005595232,604094,2262,29,0,3,0,143,0,124,0,0,0,0,0,0,18,0,0,0,4,0,0,0,299,STNL to BP,726.0,0,1,0,1.153225806451613,0.02097902097902098
5021868141301562818,426064,1552,2,0,3,0,144,0,62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,211,STNL to BP,1080.0,0,0,1,2.3225806451612905,0.020833333333333332
5042780339743051650,232507,874,32,0,3,0,16,0,63,0,0,1,0,1,0,25,0,0,0,2,1,0,0,115,STNL to BP,120.0,1,0,0,0.25396825396825395,0.1875
5113724092572553074,34292,136,1,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STNL to BP,0.0,0,0,1,0.45454545454545453,0.0
5158091684828912007,66572,246,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,BP to STH,0.0,0,0,1,0.0,
5291485683687961843,80731,315,7,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,STNL to BP,0.0,0,0,1,0.03125,0.0
5531697883654652476,185863,732,1,0,2,0,43,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,STNL to BP,0.0,0,0,1,0.9347826086956522,0.046511627906976744
5537068317766498372,285072,1067,31,0,1,0,46,0,62,0,0,0,5,1,0,23,0,0,0,2,0,0,0,141,STNL to BP,360.0,0,1,0,0.7419354838709677,0.021739130434782608
5652494201625165010,264935,905,36,0,7,0,58,0,30,0,0,0,0,0,0,31,0,0,0,1,0,0,0,131,STNL to BP,0.0,0,0,1,1.9333333333333333,0.1206896551724138
5771227246074698671,333384,1203,13,0,0,0,36,0,116,0,0,0,5,0,0,0,0,0,0,3,1,0,0,165,STNL to BP,504.0,0,1,0,0.3103448275862069,0.0
5824660637978870422,129430,460,1,0,13,0,5,0,44,0,0,0,0,1,0,0,0,0,0,1,0,0,0,64,BP to STH,0.0,0,0,1,0.11363636363636363,2.6
5931685433673598680,572096,2255,109,0,7,0,41,1,125,0,0,1,6,0,0,86,0,0,0,6,0,0,0,283,BP to STH,329.0,0,1,0,0.328,0.17073170731707318
5995385775827806306,248121,1028,1,0,0,0,81,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123,STNL to BP,0.0,0,0,1,1.975609756097561,0.0
6019253034883342048,60643,212,6,0,0,0,1,0,23,0,0,0,1,0,0,0,0,0,0,1,1,0,0,30,STNL to BP,78.0,1,0,0,0.043478260869565216,0.0
6035482707323323387,131380,529,12,0,0,0,22,0,31,0,0,0,1,0,0,0,0,3,0,4,1,0,0,65,STNL to BP,25.0,1,0,0,0.7096774193548387,0.0
6153090004140980367,135421,558,4,0,1,0,17,0,45,0,0,1,0,0,0,0,0,0,0,1,2,0,0,67,STNL to BP,54.0,1,0,0,0.37777777777777777,0.058823529411764705
6207896775180062030,386185,1478,73,0,1,0,46,0,71,0,0,2,1,0,0,68,0,0,0,2,0,0,0,191,STNL to BP,366.0,0,1,0,0.647887323943662,0.021739130434782608
6241694083368610221,141423,498,1,0,3,0,49,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,STNL to BP,0.0,0,0,1,2.8823529411764706,0.061224489795918366
6266701458823963631,248596,1147,2,0,3,0,85,0,33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,123,STNL to BP,0.0,0,0,1,2.5757575757575757,0.03529411764705882
6293399697177916560,254729,853,16,0,1,0,28,0,81,0,0,0,1,0,0,0,0,0,0,3,5,0,0,126,STNL to BP,260.0,0,1,0,0.345679012345679,0.03571428571428571
6317676185165226208,460779,1752,43,0,5,0,94,0,86,0,1,0,6,0,0,22,0,0,0,3,0,0,0,228,BP to STH,811.0,0,0,1,1.0930232558139534,0.05319148936170213
6348125179063301482,84931,346,5,0,2,0,3,0,32,0,0,0,0,0,0,0,0,0,0,1,4,0,0,42,STNL to BP,53.0,1,0,0,0.09375,0.6666666666666666
6361242316918545801,105056,383,1,0,5,0,21,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,STNL to BP,0.0,0,0,1,0.84,0.23809523809523808
