primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,0,1,0,2,1.130977130977131,0.0661764705882353,1092
0,0,0,0,0,0,0,0.46438746438746437,0.04294478527607362,808
0,0,0,0,0,0,0,0.33589743589743587,0.0,526
0,0,0,0,3,0,0,1.0435967302452316,0.09399477806788512,808
0,0,0,0,2,1,0,0.8297872340425532,0.05555555555555555,557
0,0,0,0,0,0,0,0.3584070796460177,0.20987654320987653,820
0,0,2,0,1,0,0,0.8875502008032129,0.058823529411764705,513
0,0,0,0,0,0,1,0.17041800643086816,0.1320754716981132,376
0,0,1,0,0,0,2,0.9126436781609195,0.12594458438287154,1022
0,0,0,0,0,0,0,1.2594458438287153,0.028,917
0,0,0,0,1,0,0,0.3053097345132743,0.043478260869565216,316
0,0,1,0,0,0,0,0.3272058823529412,0.14606741573033707,381
0,0,0,0,0,0,0,0.17164179104477612,0.43478260869565216,339
0,0,0,1,0,0,0,0.10091743119266056,0.0,125
0,0,0,0,0,0,0,0.5954198473282443,0.0,214
0,0,0,0,1,0,0,0.4613526570048309,0.05235602094240838,634
0,0,0,0,1,1,1,0.6569037656903766,0.03503184713375796,829
0,0,0,0,0,0,0,0.3002481389578164,0.024793388429752067,531
0,0,0,0,0,0,0,0.5605381165919282,0.112,366
0,0,0,0,0,0,0,0.3543788187372709,0.034482758620689655,682
0,0,0,0,0,1,0,0.5147540983606558,0.05732484076433121,492
