CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-5019571105787427096,199,0,2,0,2,3,60,0,0,0,0,0,2,1,0,181,0,0,0,0,0,1,0,0,1,0,0,0,267,103,0.03333333333333333,1.0,135
-5019341014345708127,349,0,79,3,91,5,236,0,0,4,0,0,5,1,0,311,0,0,0,0,0,4,0,0,0,0,0,0,767,104,0.3855932203389831,0.8681318681318682,-61
-4901350347277773919,301,0,22,6,155,5,276,0,0,6,0,0,27,1,0,257,0,0,0,0,1,2,0,0,2,0,0,0,767,105,0.5615942028985508,0.14193548387096774,-2
-4862378835485175580,235,0,13,0,9,0,79,0,1,1,0,1,30,1,0,193,0,0,0,0,0,2,0,0,0,0,0,0,339,106,0.11392405063291139,1.4444444444444444,-123
-4855642355938387396,658,1,20,0,79,1,228,0,0,1,1,0,8,1,0,630,0,0,0,0,0,2,0,0,0,0,0,0,989,108,0.34649122807017546,0.25316455696202533,245
-4791621758927842840,103,0,10,0,181,0,153,0,0,2,0,0,3,2,0,65,0,0,0,0,0,2,0,0,6,1,0,0,452,109,1.1830065359477124,0.055248618784530384,0
-4747730387069051589,427,0,40,0,292,1,238,0,0,1,0,0,7,2,3,364,0,0,0,0,0,2,0,0,0,0,0,0,1001,110,1.226890756302521,0.136986301369863,48
-4738118209948674539,204,0,49,1,367,3,399,0,0,7,0,2,0,1,0,176,0,0,1,0,0,2,0,0,6,2,0,0,1027,111,0.9197994987468672,0.1335149863760218,-1
-4736085589278100603,132,5,14,1,13,2,170,0,0,1,0,2,7,0,2,74,0,0,0,1,0,9,0,2,8,0,0,0,338,112,0.07647058823529412,1.0769230769230769,3
-4717661861309443035,484,0,4,2,75,4,70,0,0,2,0,1,1,1,0,459,0,0,1,0,0,1,0,0,3,0,0,0,641,113,1.0714285714285714,0.05333333333333334,-3
-4673656321567355733,459,0,31,4,40,2,253,0,0,5,0,0,13,1,0,431,0,0,0,0,0,2,0,0,1,0,0,0,792,114,0.15810276679841898,0.775,-254
-4648197002837373632,687,0,17,5,111,6,210,0,0,3,0,4,3,2,0,650,0,0,0,0,0,2,0,0,15,0,9,5,1052,115,0.5285714285714286,0.15315315315315314,-15
-4523375502732363456,18,3,7,2,10,3,60,0,0,1,0,0,3,0,0,5,0,0,1,0,0,1,0,0,6,1,0,0,105,116,0.16666666666666666,0.7,12
-4471155583228856558,171,0,36,5,60,5,185,0,0,2,0,0,5,0,1,129,0,0,0,0,0,2,0,2,14,1,0,1,465,117,0.32432432432432434,0.6,-1
-4366399185271234860,418,0,18,2,281,1,196,0,0,1,0,2,11,2,0,372,0,0,0,0,0,2,0,1,15,0,0,0,919,120,1.433673469387755,0.06405693950177936,7
-4333526255452124651,372,0,12,2,48,2,91,0,0,2,0,0,11,0,1,353,0,0,0,0,0,1,0,0,0,0,2,0,531,121,0.5274725274725275,0.25,124
-4321519843941254985,265,4,14,4,235,4,229,0,0,2,0,0,3,1,0,203,0,0,2,0,1,2,0,2,26,0,0,0,757,122,1.0262008733624455,0.059574468085106386,0
-4300689202468780666,105,0,12,0,81,0,65,0,0,1,0,0,2,1,0,89,0,0,0,0,0,1,0,1,2,0,0,0,265,123,1.2461538461538462,0.14814814814814814,-50
-4239063859259116483,94,0,6,3,31,3,40,0,0,1,0,1,5,2,0,66,0,0,0,0,0,2,0,0,10,0,0,0,180,124,0.775,0.1935483870967742,-1
-4239042740920878792,119,0,6,1,16,1,67,0,0,1,0,0,2,2,0,100,0,0,0,0,0,1,0,0,3,0,0,0,213,125,0.23880597014925373,0.375,6
-4223453201399531403,765,0,52,7,111,6,318,0,0,3,0,2,1,1,3,730,0,0,1,0,0,2,0,0,14,0,0,0,1261,126,0.3490566037735849,0.46846846846846846,18
-4171777467130422453,325,0,15,3,9,3,161,0,0,1,0,1,11,1,0,304,0,0,0,0,0,2,0,0,7,1,0,1,520,127,0.055900621118012424,1.6666666666666667,-16
-4131351606452516686,386,0,14,0,20,0,157,0,0,1,0,0,3,1,0,355,0,0,0,0,1,2,0,0,11,0,0,0,579,129,0.12738853503184713,0.7,7
-4086618434401195181,135,0,27,2,976,2,1301,0,0,2,0,20,39,3,1,35,0,1,0,0,0,7,0,0,7,0,0,0,2448,130,0.7501921598770177,0.027663934426229508,-4
-4058975275652354016,377,0,16,0,54,0,29,0,0,1,0,0,4,2,1,349,0,0,1,0,0,2,0,0,12,0,0,0,479,131,1.8620689655172413,0.2962962962962963,1
-3754890901974969501,156,0,5,0,42,1,32,0,0,1,0,0,3,1,0,133,0,0,0,0,0,2,0,0,5,0,0,0,238,134,1.3125,0.11904761904761904,-51
