CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase_x,AVG_TIME_DAYS_purchase_y
7790293894177004640,1380187,5377,24,0,0,0,370,0,288,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,684,249,1.2847222222222223,0.0,352,352
7800565957170667872,1207630,4372,163,0,39,2,159,1,232,0,0,3,0,0,12,0,0,131,0,0,1,0,0,3,0,0,0,0,0,597,250,0.6853448275862069,0.24528301886792453,227,227
8051948956042735819,372416,1638,98,0,13,0,34,0,38,0,0,2,0,0,0,0,0,89,0,0,1,0,0,1,0,2,0,0,0,184,251,0.8947368421052632,0.38235294117647056,47,47
8094417527659778452,2698353,10915,813,0,23,1,229,2,260,0,0,2,0,2,14,2,0,771,0,0,0,0,1,3,0,13,0,2,1,1334,252,0.8807692307692307,0.10043668122270742,31,31
8126974803990434855,2403181,7435,226,0,32,0,626,0,300,0,0,10,0,0,19,1,0,174,0,0,1,0,1,3,0,9,0,0,0,1188,253,2.0866666666666664,0.051118210862619806,46,46
8330673053702594222,450966,1702,26,0,29,1,13,1,151,0,0,3,0,0,1,1,0,11,0,0,0,0,0,1,0,5,0,0,0,223,255,0.08609271523178808,2.230769230769231,39,39
8388379314398911561,1205234,4533,23,0,10,0,192,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,597,256,0.5161290322580645,0.052083333333333336,539,539
8408468602347927349,1021252,3797,32,0,19,2,244,0,207,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2,1,3,0,0,0,505,257,1.178743961352657,0.0778688524590164,64,64
8525792891267786286,1041948,3764,372,0,19,2,11,2,106,0,0,1,0,0,2,2,0,360,0,0,0,0,1,2,0,7,0,0,0,515,258,0.10377358490566038,1.7272727272727273,35,35
8542630720749341232,926992,4247,304,0,11,0,24,1,116,0,0,3,0,0,4,1,0,281,0,0,1,0,0,1,0,2,0,0,0,458,259,0.20689655172413793,0.4583333333333333,56,56
8621188725007415157,1462439,5258,322,0,27,0,131,1,240,1,0,2,0,0,2,1,1,278,0,0,0,0,1,3,0,1,0,0,0,723,260,0.5458333333333333,0.20610687022900764,117,117
8626760891547971718,1353249,4727,249,0,25,5,99,3,282,0,0,6,0,4,13,3,2,203,0,0,1,0,0,3,0,0,0,0,0,669,261,0.35106382978723405,0.25252525252525254,76,76
8693942997750974773,635288,2449,151,0,3,0,5,1,151,0,1,1,0,0,5,1,0,143,0,0,0,0,1,2,0,0,0,0,0,314,262,0.033112582781456956,0.6,159,159
