primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,2,2,0,0,0,0,0.05555555555555555,1.7647058823529411,1677
0,0,1,5,6,6,6,0,0.0971709717097171,0.012658227848101266,1353
0,0,0,8,0,0,11,0,0.4326923076923077,0.07272727272727272,2768
0,0,0,2,0,0,4,1,1.3253012048192772,0.17727272727272728,666
2,0,0,1,0,0,0,0,0.7899159663865546,0.09574468085106383,347
0,0,0,2,0,0,11,0,0.05,1.0,161
0,0,0,2,0,0,18,0,0.9312977099236641,0.20491803278688525,388
0,0,0,1,0,0,4,0,0.42105263157894735,0.09375,507
0,0,0,1,0,0,1,0,1.296875,0.12048192771084337,259
0,0,0,1,0,0,1,0,0.8823529411764706,0.022222222222222223,114
0,0,0,2,0,0,11,1,0.5450819672131147,0.11278195488721804,731
0,0,0,2,0,0,10,2,0.0815450643776824,1.2105263157894737,791
0,0,0,1,0,0,0,0,1.26,0.031746031746031744,131
0,0,0,2,0,0,11,0,2.5445544554455446,0.122568093385214,1096
0,0,0,2,0,0,5,14,0.34536082474226804,0.2835820895522388,908
0,0,0,1,0,0,1,0,0.7758620689655172,0.3333333333333333,283
0,0,0,2,1,0,0,0,0.2594594594594595,0.4166666666666667,437
4,0,0,2,0,0,2,0,0.3237410071942446,0.5111111111111111,680
0,0,0,1,0,0,2,0,0.782608695652174,0.2361111111111111,320
0,1,0,2,0,0,0,0,1.096774193548387,0.4411764705882353,370
0,0,0,1,0,0,1,0,1.2764227642276422,0.07643312101910828,532
0,0,0,2,0,0,1,0,0.4008097165991903,0.35353535353535354,791
0,0,0,1,0,0,0,0,1.0754716981132075,0.38596491228070173,143
0,0,0,2,0,0,17,4,0.46116504854368934,0.30526315789473685,459
0,0,0,7,0,0,0,0,1.1360448807854138,0.05308641975308642,2017
0,0,0,1,0,0,0,0,0.3442622950819672,0.38095238095238093,130
0,0,0,2,0,0,7,0,0.02702702702702703,1.5,414
0,0,0,2,0,0,0,4,1.2996515679442509,0.10723860589812333,1024
0,0,0,1,0,0,4,0,1.352112676056338,0.16666666666666666,210
0,0,0,1,0,0,0,0,0.32653061224489793,0.0625,77
1,0,1,3,0,0,0,0,0.05309734513274336,1.1666666666666667,780
0,0,1,2,0,0,9,0,0.3712574850299401,0.22580645161290322,350
0,0,0,2,0,0,17,0,0.04132231404958678,1.4,358
0,0,0,1,0,0,2,0,0.6666666666666666,0.016129032258064516,183
0,0,2,1,0,0,0,0,1.76,0.07954545454545454,182
0,0,1,2,0,0,2,0,0.07096774193548387,1.4545454545454546,586
0,0,0,1,0,0,10,0,0.8653846153846154,0.06666666666666667,112
0,0,0,2,0,0,3,0,0.25806451612903225,0.1,239
0,0,0,2,0,0,16,0,2.3540372670807455,0.023746701846965697,880
1,0,0,2,0,0,2,1,1.9166666666666667,0.10869565217391304,853
0,0,0,2,0,0,1,0,0.07392996108949416,0.3157894736842105,338
0,0,0,1,0,0,0,0,2.32183908045977,0.13366336633663367,414
0,0,0,2,0,0,0,0,0.9024390243902439,0.24324324324324326,348
0,0,0,1,0,0,9,1,2.0,0.15789473684210525,93
0,0,0,2,0,0,5,0,0.33163265306122447,0.3076923076923077,313
0,0,0,2,0,0,5,0,0.4943181818181818,0.2413793103448276,695
3,0,0,2,0,0,1,0,0.3157894736842105,0.4166666666666667,954
0,0,0,1,0,0,0,0,0.34146341463414637,0.03571428571428571,128
1,0,0,7,0,0,23,0,0.6172839506172839,0.14,256
0,0,0,2,0,1,0,0,0.2196969696969697,0.3103448275862069,483
0,0,0,1,0,0,4,0,0.05263157894736842,1.3333333333333333,407
0,0,0,1,0,0,1,0,0.024390243902439025,2.0,198
0,0,0,2,0,1,6,0,0.7628205128205128,0.09243697478991597,460
0,0,0,4,0,0,56,0,0.08152173913043478,0.9,864
0,0,0,2,0,0,15,0,1.378787878787879,0.17032967032967034,376
0,0,0,1,0,0,0,0,1.0227272727272727,0.044444444444444446,164
0,0,0,1,0,0,0,0,0.10784313725490197,1.2727272727272727,194
0,0,0,2,0,0,3,0,0.6892655367231638,0.319672131147541,796
0,0,0,2,0,0,1,1,0.09090909090909091,1.0,810
0,0,0,1,0,0,3,1,0.7391304347826086,0.14705882352941177,834
0,1,1,2,0,0,7,1,0.75,0.1984126984126984,502
0,0,0,1,0,0,0,0,0.7472527472527473,0.10294117647058823,239
0,0,0,1,0,0,0,0,11.0,0.045454545454545456,279
